Thiết bị,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
Máy tính,80,1739,4.6%,3.21
Sơ đồ trang web dành cho điện thoại di động,63,220,28.64%,5.23
Máy tính bảng,0,2,0%,1
