"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://coinlineup.com/currencies/OKB/okb/","1","Non-Indexable","Canonicalised","https://coinlineup.com/currencies/okb/okb/","","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","","",""
"https://coinlineup.com/cmc-currency-details/","1","Non-Indexable","Canonicalised","https://coinlineup.com/currencies///","","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","","",""
