Thiết bị,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
Máy tính,99,1554,6.37%,39.34
Sơ đồ trang web dành cho điện thoại di động,60,339,17.7%,32.39
Máy tính bảng,0,2,0%,10
