Nguyên nhân,Nguồn,Xác thực,Trang
Bị loại trừ bởi thẻ 'noindex',Trang web,Chưa bắt đầu,286
Trang có lệnh chuyển hướng,Trang web,Chưa bắt đầu,2
Đã thu thập dữ liệu – hiện chưa được lập chỉ mục,Các hệ thống của Google,Chưa bắt đầu,31
Không tìm thấy (404),Trang web,Không áp dụng,0
Đã phát hiện thấy – hiện chưa được lập chỉ mục,Các hệ thống của Google,Không áp dụng,0
