Ngày,Các trang bị ảnh hưởng
2026-01-17,97
2026-01-18,93
2026-01-19,93
2026-01-20,93
2026-01-21,84
2026-01-22,84
2026-01-23,84
2026-01-24,84
2026-01-25,82
2026-01-26,82
2026-01-27,82
2026-01-28,77
2026-01-29,77
2026-01-30,77
2026-01-31,77
2026-02-01,67
2026-02-02,67
2026-02-03,67
2026-02-04,63
2026-02-05,63
2026-02-06,63
2026-02-07,63
2026-02-08,57
2026-02-09,57
2026-02-10,57
2026-02-11,53
2026-02-12,53
2026-02-13,53
2026-02-14,53
2026-02-15,52
2026-02-16,52
2026-02-17,52
2026-02-18,54
2026-02-19,54
2026-02-20,54
2026-02-21,54
2026-02-22,52
2026-02-23,52
2026-02-24,52
2026-02-25,48
2026-02-26,48
2026-02-27,48
2026-02-28,48
2026-03-01,48
2026-03-02,48
2026-03-03,48
2026-03-04,45
2026-03-05,45
2026-03-06,45
2026-03-07,45
2026-03-08,41
2026-03-09,41
2026-03-10,41
2026-03-11,39
2026-03-12,39
2026-03-13,39
2026-03-14,39
2026-03-15,39
2026-03-16,37
2026-03-17,37
2026-03-18,36
2026-03-19,36
2026-03-20,36
2026-03-21,36
2026-03-22,35
2026-03-23,35
2026-03-24,35
2026-03-25,36
2026-03-26,36
2026-03-27,36
2026-03-28,36
2026-03-29,30
2026-03-30,30
2026-03-31,30
2026-04-01,31
2026-04-02,31
2026-04-03,31
2026-04-04,31
2026-04-05,31
2026-04-06,31
2026-04-07,31
2026-04-08,31
2026-04-09,31
2026-04-10,31
