Ngày,Các trang bị ảnh hưởng
2026-01-20,143
2026-01-21,120
2026-01-22,120
2026-01-23,120
2026-01-24,120
2026-01-25,106
2026-01-26,106
2026-01-27,106
2026-01-28,91
2026-01-29,91
2026-01-30,91
2026-01-31,91
2026-02-01,76
2026-02-02,76
2026-02-03,76
2026-02-04,73
2026-02-05,73
2026-02-06,73
2026-02-07,73
2026-02-08,69
2026-02-09,69
2026-02-10,69
2026-02-11,66
2026-02-12,66
2026-02-13,66
2026-02-14,66
2026-02-15,64
2026-02-16,64
2026-02-17,64
2026-02-18,62
2026-02-19,62
2026-02-20,62
2026-02-21,62
2026-02-22,61
2026-02-23,61
2026-02-24,61
2026-02-25,55
2026-02-26,55
2026-02-27,55
2026-02-28,55
2026-03-01,55
2026-03-02,55
2026-03-03,55
2026-03-04,55
2026-03-05,55
2026-03-06,55
2026-03-07,55
2026-03-08,51
2026-03-09,51
2026-03-10,51
2026-03-11,45
2026-03-12,45
2026-03-13,45
2026-03-14,45
2026-03-15,45
2026-03-16,39
2026-03-17,39
2026-03-18,36
2026-03-19,36
2026-03-20,36
2026-03-21,36
2026-03-22,35
2026-03-23,35
2026-03-24,35
2026-03-25,35
2026-03-26,35
2026-03-27,35
2026-03-28,35
2026-03-29,35
2026-03-30,35
2026-03-31,35
2026-04-01,34
2026-04-02,34
2026-04-03,34
2026-04-04,34
2026-04-05,30
2026-04-06,30
2026-04-07,29
2026-04-08,29
2026-04-09,29
2026-04-10,29
2026-04-11,29
2026-04-12,29
2026-04-13,29
